3,269.0,4.891
3,320.0,4.051
3,380.0,5.947
3,252.0,5.25
5,950.0,5.89
3,299.0,5.137
4,579.0,5.17
4,375.0,5.068
5,289.0,2.897
3,309.0,4.754
3,295.068,5.966
3,320.0,5.34
3,499.0,5.544
4,300.0,4.286
3,290.0,5.37
3,345.0,4.107
4,449.0,4.157
3,420.0,5.63
3,329.0,5.612
3,355.0,5.547
3,226.0,5.022
3,600.0,5.66
3,319.024,5.876
4,569.0,5.035
3,329.0,4.7
3,370.496,5.6
3,339.0,5.845
3,329.0,4.7
3,245.0,5.072
3,319.0,4.797
3,273.0,3.456
3,364.0,5.6
5,690.0,5.0
3,275.0,5.189
3,397.0,4.363
4,450.0,3.629
3,359.0,6.19
3,276.36400000000003,5.71
3,333.06,6.1
4,381.457,5.51
3,340.0,5.231
3,355.0,4.494
4,385.0,4.278
4,279.0,4.359
3,322.558,5.71
3,339.0,4.644
3,353.88199999999995,5.9
4,465.0,5.167
3,289.0,4.617
3,326.073,6.15
4,259.0,3.889
4,375.0,3.947
3,415.0,5.432
6,1140.0,5.907
3,276.0,5.208
5,450.0,3.462
3,245.0,5.104
5,900.0,5.833
3,409.0,3.728
4,599.0,4.075
3,363.13300000000004,6.1
3,245.7,4.2
3,308.066,6.05
3,323.357,5.737
3,385.0,4.02
4,469.0,5.098
3,400.0,5.797
3,370.0,5.139
4,334.57300000000004,4.588
3,289.0,4.359
3,409.0,4.398
3,299.0,5.059
3,309.0,5.237
3,315.0,3.987
3,615.0,5.971
3,310.0,4.844
4,324.9,4.391
3,328.842,5.75
3,360.0,3.288
3,311.76599999999996,5.71
3,320.0,4.211
5,420.0,4.615
3,265.0,5.638
4,299.0,4.053
4,355.0,4.797
3,298.0,4.656
5,690.0,5.0
3,263.0,5.977
4,350.0,4.62
3,210.0,4.286
3,344.0,5.548
4,340.0,4.802
3,209.0,4.86
3,365.0,5.53
4,399.0,4.68
3,274.0,3.558
3,265.0,5.638
3,324.0,4.765
3,275.0,4.297
3,335.0,4.718
3,230.0,5.425
3,310.0,4.769
3,325.0,5.328
3,249.99900000000002,4.63
3,279.0,4.359
3,438.691,5.668
3,340.0,5.231
4,399.0,4.64
4,329.999,4.402
3,300.0,4.087
4,390.0,3.0
